start_date	end_date	status	progress	duration_in_seconds	finished	recorded_date	response_id	distribution_channel	user_language	work_home_prop_now_1	work_home_prop_prior_1	home_school	discipline
2020-03-25 10:40:29	2020-03-25 10:41:16	IP Address	100	47	True	2020-03-25 10:41:17	R_3ejYeENl5YLgLGz	email	EN	100	19	No	Supply Chain Management
2020-03-25 10:54:09	2020-03-25 10:56:09	IP Address	100	119	True	2020-03-25 10:56:09	R_3Do17inDLCdwvMl	email	EN	100	10	No	Psychiatry
2020-03-25 10:55:35	2020-03-25 10:57:01	IP Address	100	86	True	2020-03-25 10:57:01	R_3oNiCCEuXQpb7uJ	email	EN	100	50	Yes	educational sciences
2020-03-25 12:28:49	2020-03-25 12:33:05	IP Address	100	255	True	2020-03-25 12:33:05	R_bwtzx3GbDyGhXXz	email	EN	100	50	No	Education
2020-03-25 12:54:50	2020-03-25 12:55:52	IP Address	100	62	True	2020-03-25 12:55:53	R_3qjkj4RHU39zpvJ	email	EN	100	50	No	Psychology
2020-03-25 13:05:30	2020-03-25 13:09:00	IP Address	100	209	True	2020-03-25 13:09:00	R_8v06ZHPXDall2w1	email	EN	100	40	No	Developmental psychology
2020-03-25 14:10:25	2020-03-25 14:10:36	IP Address	100	10	True	2020-03-25 14:10:36	R_d1r9zX8gkHa1u7f	email	EN	NA	NA	NA	NA
2020-03-25 14:25:38	2020-03-25 14:28:35	IP Address	100	176	True	2020-03-25 14:28:35	R_1EY8tfYiYkU5FWH	email	EN	100	20	Yes	Communication
2020-03-25 18:47:06	2020-03-25 18:48:38	IP Address	100	91	True	2020-03-25 18:48:39	R_2xFbF7hc0nWH14d	email	EN	100	81	No	clinical psychology
2020-03-25 22:01:14	2020-03-25 22:02:57	IP Address	100	102	True	2020-03-25 22:02:57	R_2bUVgGvuIn07H7z	email	EN	100	50	No	Psychology
2020-03-30 18:29:15	2020-03-30 18:30:43	IP Address	100	87	True	2020-03-30 18:30:43	R_2usKCdaBPx8hqXa	email	EN	100	10	Yes	education
2020-03-30 18:29:59	2020-03-30 18:31:45	IP Address	100	106	True	2020-03-30 18:31:45	R_1PT8GNTsXstYZbv	email	EN	100	79	Yes	business
2020-03-30 18:31:17	2020-03-30 18:33:49	IP Address	100	152	True	2020-03-30 18:33:50	R_1Lk6TMDAZRhobAg	email	EN	90	37	No	Behavioral neuroendocrinology
2020-03-30 18:32:16	2020-03-30 18:34:06	IP Address	100	109	True	2020-03-30 18:34:06	R_1PTcBSvo5DAsGjA	email	EN	100	30	Yes	Experimental linguistics
2020-03-30 18:33:59	2020-03-30 18:35:28	IP Address	100	88	True	2020-03-30 18:35:28	R_2TSqIkgo1YD9ABj	email	EN	100	51	No	Math
2020-03-30 18:33:14	2020-03-30 18:35:39	IP Address	100	145	True	2020-03-30 18:35:39	R_080d80eGbYVOfgl	email	EN	100	71	Yes	health psychology
2020-03-30 18:34:06	2020-03-30 18:35:44	IP Address	100	98	True	2020-03-30 18:35:45	R_2qfJFuBZHfglUaP	email	EN	100	51	No	Psychiatry
2020-03-30 18:28:54	2020-03-30 18:36:02	IP Address	100	427	True	2020-03-30 18:36:02	R_2ah8ehwbQF5DsAj	email	EN	100	50	No	Software Engineering
2020-03-30 18:35:10	2020-03-30 18:39:53	IP Address	100	282	True	2020-03-30 18:39:53	R_2RUMBtPfJkaf3qZ	email	EN	100	90	No	judgment and decision making
2020-03-30 18:39:36	2020-03-30 18:40:46	IP Address	100	69	True	2020-03-30 18:40:47	R_3m3MxlxysqOoCW8	email	EN	100	25	Yes	Applied Psychology
2020-03-30 18:39:46	2020-03-30 18:42:09	IP Address	100	142	True	2020-03-30 18:42:09	R_3I0Ke1t5Pahf4w9	email	EN	100	30	No	NA
2020-03-30 18:56:09	2020-03-30 19:01:17	IP Address	100	307	True	2020-03-30 19:01:17	R_2R2OpQnJCoaKnjO	email	EN	100	92	No	mathematics
2020-03-30 18:45:17	2020-03-30 19:05:59	IP Address	100	1241	True	2020-03-30 19:05:59	R_1DYjprk2oq65Sfw	email	EN	100	20	Yes	anthropology and area studies
2020-03-30 19:17:59	2020-03-30 19:19:32	IP Address	100	92	True	2020-03-30 19:19:32	R_1oGYeNc3fPnlmkS	email	EN	100	81	No	Literacy education
2020-03-30 19:33:02	2020-03-30 19:35:21	IP Address	100	139	True	2020-03-30 19:35:22	R_1igFRNvcCcuRnd1	email	EN	100	20	No	psychology
2020-03-30 19:48:43	2020-03-30 19:50:55	IP Address	100	131	True	2020-03-30 19:50:55	R_3koFrYv5b1DoxHu	email	EN	61	20	No	neuroscience
2020-03-30 20:07:45	2020-03-30 20:09:09	IP Address	100	83	True	2020-03-30 20:09:09	R_2qDXs0SbeMYXRna	email	EN	100	20	No	developmental psychopathology
